"Osallistujakortteja","Name",Members + Adults,Arrival,,,,Practice4,Pr4T,,"RobotgameRound2",Rg2T,,Practice5,Pr5T,,"RobotgameRound3",Rg3T,,LUNCH,,Seremonies
,Team1,,8:00,,,,9:50,E,,10:30,A,,11:10,E,,11:40,B,,12:20,,13:00
,Team2,,8:00,,,,9:20,A,,9:50,A,,10:40,E,,11:10,B,,12:10,,13:00
,Team3,,8:00,,,,9:10,A,,10:10,A,,10:30,E,,11:30,B,,12:00,,13:00
,Team4,,8:00,,,,9:00,A,,10:00,A,,10:20,E,,11:20,B,,12:10,,13:00
,Team5,,8:00,,,,9:30,E,,10:10,B,,10:40,A,,11:50,B,,12:20,,13:00
,Team6,,8:00,,,,9:20,B,,10:20,A,,10:50,E,,11:30,A,,12:10,,13:00
,Team7,,8:00,,,,9:10,B,,10:20,B,,11:00,E,,11:20,A,,12:20,,13:00
,Team8,,8:00,,,,9:00,B,,9:40,A,,10:10,E,,11:00,B,,12:00,,13:00
,Team9,,8:00,,,,9:40,E,,10:30,B,,11:30,E,,11:50,A,,12:10,,13:00
,Team10,,8:00,,,,9:20,C,,9:40,B,,10:00,E,,11:10,A,,12:00,,13:00
,Team11,,8:00,,,,9:10,C,,10:00,B,,11:20,E,,11:40,A,,12:20,,13:00
,Team12,,8:00,,,,9:00,C,,9:50,B,,10:40,B,,11:00,A,,12:00,,13:00
,Team13,,8:00,,,,9:50,F,,10:30,C,,11:10,F,,11:40,D,,12:20,,13:00
,Team14,,8:00,,,,9:20,D,,9:50,C,,10:40,F,,11:10,D,,12:10,,13:00
,Team15,,8:00,,,,9:10,D,,10:10,C,,10:30,F,,11:30,D,,12:00,,13:00
,Team16,,8:00,,,,9:00,D,,10:00,C,,10:20,F,,11:20,D,,12:10,,13:00
,Team17,,8:00,,,,9:30,F,,10:10,D,,10:40,C,,11:50,D,,12:20,,13:00
,Team18,,8:00,,,,9:20,E,,10:20,C,,10:50,F,,11:30,C,,12:10,,13:00
,Team19,,8:00,,,,9:10,E,,10:20,D,,11:00,F,,11:20,C,,12:20,,13:00
,Team20,,8:00,,,,9:00,E,,9:40,C,,10:10,F,,11:00,D,,12:00,,13:00
,Team21,,8:00,,,,9:40,F,,10:30,D,,11:30,F,,11:50,C,,12:10,,13:00
,Team22,,8:00,,,,9:20,F,,9:40,D,,10:00,F,,11:10,C,,12:00,,13:00
,Team23,,8:00,,,,9:10,F,,10:00,D,,11:20,F,,11:40,C,,12:20,,13:00
,Team24,,8:00,,,,9:00,F,,9:50,D,,10:40,D,,11:00,C,,12:00,,13:00
